text,summary
" కరోనా వ్యాధి నియంత్రణ కోసమే ముందస్తు చర్యగా స్థానిక సంస్థల ఎన్నికలను వాయిదా వేశామని ఈసీ చెప్తున్న నేపథ్యంలో వాయిదా పడిన స్థానిక ఎన్నికలను కేంద్ర బలగాల సాయంతో నిర్వహించాలంటూ టీడీపీ నేత యనమల రామకృష్ణుడు చేస్తున్న డిమాండ్‌పై వైఎస్సార్‌సీపీ ఎంపీ విజయసాయి రెడ్డి ట్విటర్‌ వేదికగా స్పందించారు. 'స్థానిక సంస్థల ఎన్నికలు కేంద్ర బలగాల పహారాలో నిర్వహించాలంటూ యనమల గారు డిమాండ్ చేయడం చూస్తుంటే దయ్యాలు వేదాలు వల్లించినట్టుగా ఉందని విజయసాయి ఎద్దేవా చేశారు. సీబీఐని నిషేధించినవాళ్లు, కేంద్ర బలగాలకు వ్యతిరేకంగా మాట్లాడినవాళ్లు ఇప్పుడు నాలుక మడతేస్తున్నారు అంటూ విమర్శించారు. మీలాంటి ప్రజాకంటకుల వల్ల ఏం ప్రయోజనం, అనవసర ఖర్చులు తప్ప' అంటూ ఆగ్రహం వ్యక్తం చేశారు.","లేఖలు, లీకులు అందులో భాగమే'"
"కరోనా వైరస్‌ మహమ్మారి దేశవ్యాప్తంగా ప్రకంపనలు రేపుతోంది. బాలీవుడ్‌ గాయని కనికాకపూర్‌ నిర్లక్ష్యంతో కరోనా భయాందోళనలు తాజాగా పార్లమెంటు దాకా  పాకాయి. కనికా కపూర్‌ తనకు  కోవిడ్‌-19 (కరోనా) పాజిటివ్‌ అని తేలిందని, దీంతో తన కుటుంబం మొత్తం సెల్ఫ్‌ నిర్బంధంలోకి పోతున్నట్టు సోషల్‌ మీడియా ద్వారా వెల్లడించారు.  దీంతో కరోనా తుట్టె కదిలింది. పలువురు ఎంపీలు సహా,  కనికాతో కలిసిన, సన్నిహిత మెలిగిన వారంతా స్వీయ నిర్బంధంలోకి వెళ్లి పోవాల్సిన  పరిస్థితి  ఏర్పడింది. ",కరోనా పట్ల అప్రమత్తంగా ఉండాలి : మోదీ
"అసలే కరోనాతో ఓ వైపు ప్రపంచం గజగజవణికిపోతుంటే ఏప్రిల్‌ 19న ప్రపంచం కనుమరుగవుతోందని పిడుగు లాంటి మరో వార్త సోషల్‌ మీడియాలో వైరల్‌ అవుతోంది. అంతరిక్షం నుంచి వస్తున్న ఓ పెద్ద గ్రహశకలం భూమి నుంచి దూసుకెళ్తుందని, అప్పుడు యుగాంతం తప్పదని అంటున్నారు. అయితే దీంట్లో వాస్తవమెంత..? ఇప్పుడే ఈ ప్రచారం ఎందుకు తెరపైకి వచ్చిందని అంతా చర్చించుకుంటున్నారు. 2020 సంవత్సరంలో ఓ భారీ గ్రహ శకలం భూమికి సమీపంగా వెళ్తుందని మూడేళ్ల క్రితం నాసా ప్రకటించిన సంగతి తెలిసిందే.",ఏప్రిల్ 19న యుగాంతం  ఏంటి కథ?
కోవిడ్‌–19 కారణంగా ప్రస్తుతం ప్రపంచవ్యాప్తంగా నెలకొన్న సంక్షోభ పరిస్థితుల్లో ప్రతిష్టాత్మక టోక్యో ఒలింపిక్స్‌ను వాయిదా వేయడమే మంచిదని భారత చీఫ్‌ బ్యాడ్మింటన్‌ కోచ్‌ పుల్లెల గోపీచంద్‌ అభిప్రాయపడ్డాడు. ఒలింపిక్స్‌ను తొలుత అనుకున్న ప్రకారం షెడ్యూల్‌ టైమ్‌లోనే నిర్వహిస్తామని బుధవారం  అంతర్జాతీయ ఒలింపిక్‌ కమిటీ (ఐఓసీ) స్పష్టం చేసింది. దీంతో ఐఓసీ నిర్ణయంపై భిన్నాభిప్రాయాలు వ్యక్తం అవుతున్నాయి. ఈ నేపథ్యంలో ఒలింపిక్స్‌ వాయిదా వేయాలనే వారికి గోపీ వ్యాఖ్యలు మరింత బలం చేకూర్చాయి.,ఒలింపిక్స్‌ వాయిదా వేస్తే మంచిది
" ముఖ్యమంత్రి కమల్‌నాథ్‌ రాజీనామా చేయడంతో ప్రభుత్వాన్ని ఏర్పాటు చేసేందుకు ప్రతిపక్ష బీజేపీకి మార్గం సుగమమైంది. కమల్‌నాథ్‌ రాజీనామా అనంతరం ప్రభుత్వ ఏర్పాటు దిశగా బీజేపీ ప్రయత్నాలు ముమ్మరం చేస్తోంది. ప్రభుత్వాన్ని ఏర్పాటు చేసేందుకు తమకు అవకాశం కల్పించాలని ఎమ్మెల్యేలతో కలిసి గవర్నర్‌కు విజ్ఞప్తి చేసేందుకు బీజేపీ నేతలు సిద్ధమవుతున్నారు. ఈ మేరకు శనివారం లేదా ఆదివారమే గవర్నర్‌ లాల్జీ టాండన్‌తో ఆ పార్టీ సీనియర్‌ నేత, మాజీ సీఎం శివరాజ్‌సింగ్‌ చౌహాన్‌ భేటీ కానున్నట్లు తెలుస్తోంది. కాంగ్రెస్‌కు చెందిన కీలక నేత జ్యోతిరాదిత్య సింధియా కాషాయ దళంలో చేరడం, ఆయనతోపాటు 22 మంది కాంగ్రెస్‌ ఎమ్మెల్యేలు శాసన సభ్యత్వానికి రాజీనామా చేయడంతో కమల్‌నాథ్‌ ప్రభుత్వం సంక్షోభంలో పడిన విషయం తెలిసిందే. ",మధ్యప్రదేశ్‌లో ప్రభుత్వ ఏర్పాటు దిశగా బీజేపీ..!
ముఖ్యమంత్రి కమల్‌నాథ్‌ తన పదవికి రాజీనామా చేశారు. శుక్రవారం సాయంత్రం నాటికి అసెంబ్లీలో బలపరీక్ష నిర్వహించాలని సుప్రీంకోర్టు ఆదేశించిన నేపథ్యంలో ఆయన ఈ నిర్ణయం తీసుకున్నారు. కాంగ్రెస్‌కు చెందిన 22 మంది ఎమ్మెల్యేలు ప్రభుత్వంపై తిరుగుబాటు చేసి.. రాజీనామాలు చేయడంతో కమల్‌నాథ్‌ సర్కార్‌ మైనార్టీలో పడిపోయిన విషయం తెలిసిందే. ఈ నేపథ్యంలో అసెంబ్లీలో సరిపడ బలం లేకపోవడంతో శుక్రవారం ముఖ్యమంత్రి పదవికి రాజీనామా చేశారు. రాజ్‌భవన్‌లో గవర్నర్‌ లాల్జీ టాండన్‌ను కలిసి తన రాజీనామా పత్రాన్ని సమర్పించారు. కాంగ్రెస్‌కు చెందిన కీలక నేత జ్యోతిరాదిత్య సింధియా కాషాయ దళంలో చేరడంతో కమల్‌నాథ్‌ ప్రభుత్వానికి ఇబ్బందికర పరిస్థితి ఏర్పడింది. కాగా సీఎంగా ‍ప్రమాణం చేసిన 15 నెలల్లోనే ఆయన రాజీనామా చేయడం గమనార్హం.,మధ్యప్రదేశ్‌ సీఎం కమల్‌నాథ్‌ రాజీనామా
"కరోనా వైరస్‌ కారణంగా సింగపూర్‌లోని చంగీ ఎయిర్‌పోర్టులో మహబూబ్‌నగర్‌ జిల్లా జడ్చర్లకు చెందిన ఆరుగురు వైద్య విద్యార్థులు చిక్కుకుపోయారు. బుధవారం భారత్‌ వస్తుండగా చివరి నిమిషంలో అధికారులు వీరి ప్రయాణాన్ని అడ్డుకున్నారు. ఫిలిప్పీన్స్‌లో వైద్య విద్యనభ్యసిస్తున్న వీరిని 72 గంటల్లోగా తమ స్వస్థలాలకు వెళ్లిపోవాలని అక్కడి ప్రభుత్వం ఆదేశించింది. దీంతో విద్యార్థులు ముందు సింగపూర్‌ చేరుకున్నారని, తర్వాత ఇక్కడికి రావడానికి విమానం ఎక్కే చివరి నిమిషంలో ప్రయాణం నిలిపివేయాలని భారత్‌ నుంచి అధికారులు అక్కడి ఎయిర్‌పోర్టు అధికారులకు సమాచారం ఇవ్వడంతో ఈ పరిస్థితి నెలకొందని విద్యార్థుల తల్లిదండ్రులు గురువా రం తెలిపారు. రాష్ట్ర ప్రభుత్వం జోక్యం చేసుకుని తమ పిల్లలను రప్పించాలని కోరారు. ఈ విషయాన్ని ఎమ్మెల్యే లక్ష్మారెడ్డి దృష్టికి తీసుకెళ్లారు. మంత్రి శ్రీనివాస్‌గౌడ్‌తో కలసి సీఎం కేసీఆర్‌ దృష్టికి తీసుకెళ్తానని ఈ సందర్భంగా లక్ష్మారెడ్డి తల్లిదండ్రులకు హామీ ఇచ్చారు. విద్యార్థులను క్షేమంగా జడ్చర్లకు తీసుకొచ్చేలా చర్యలు తీసుకుంటామన్నారు",సింగపూర్‌లో చిక్కుకున్న జడ్చర్ల విద్యార్థులు
"ప్రపంచాన్ని అతలాకుతలం చేస్తున్న కరోనా వైరస్‌ ప్రజలకు కంటి మీద కునుకు లేకుండా చేస్తోంది. భారత్‌లోనూ కరోనా ప్రవేశించడంతో ముందు జాగ్రత్త చర్యల్లో భాగంగా ఇప్పటికే అన్ని విద్యాసంస్థలు, పార్క్‌లు, సినిమా థియేటర్లు, దేవాలయాలు మూసి వేసిన విషయం తెలిసిందే. దీంతో ప్రజలు ఇళ్ల నుంచి బయటకు రావడం లేదు. ఇక సెలబ్రిటీలు కూడా సినిమా షూటింగ్‌లకు బ్రేక్‌ చెప్పి ఇంట్లోనే స్వీయ నిర్బంధంలో ఉంటున్నారు. ఈ నేపథ్యంలో తాజాగా ఓ సెలబ్రిటీ కరోనా బారిన పడ్డారు. హాలీవుడ్‌లో 'కామసూత్ర', 'గేమ్ ఆఫ్ థ్రోన్స్' సినిమాల్లో నాయికగా నటించిన, భారత సంతతికి చెందిన ఇందిరా వర్మకు కరోనా సోకింది.",కామసూత్ర నటికి కరోనా కష్టాలు
"ప్రపంచాన్ని అతలాకుతలం చేస్తున్న కరోనా వైరస్‌ ప్రజలకు కంటి మీద కునుకు లేకుండా చేస్తోంది. భారత్‌లోనూ కరోనా ప్రవేశించడంతో ముందు జాగ్రత్త చర్యల్లో భాగంగా ఇప్పటికే అన్ని విద్యాసంస్థలు, పార్క్‌లు, జిమ్ములు, సినిమా థియేటర్లు, దేవాలయాలు మూసి వేసిన విషయం తెలిసిందే. దీంతో ప్రజలు ఇంటి నుంచి బయటకు రావడం లేదు. ఇక సెలబ్రిటీలు కూడా సినిమా షూటింగ్‌లకు బ్రేక్‌ చెప్పి ఇంట్లోనే స్వీయ నిర్బంధంలో ఉంటున్నారు. ఈ నేపథ్యంలో తాజాగా ప్రముఖ సింగర్‌కు కరోనా సోకినట్లు శుక్రవారం తెలిసింది. బాలీవుడ్‌ గాయని కనికా కపూర్‌కు కరోనా పాజిటీవ్‌గా నిర్ధారించినట్లు డాక్టర్లు వెల్లడించారు. బాలీవుడ్‌లో ఎన్నో హిట్‌ పాటలు ఆమె గొంతు నుంచి జాలువారాయి. ‘బేబి డాల్‌, చిట్టియాన్‌ కలైయాన్‌’ వంటి ప్రాచుర్యం పొందిన పాటలను ఆమె ఆలపించారు",ప్రముఖ బాలీవుడ్‌ సింగర్‌కు కరోనా పాజిటివ్‌
డిప్లమో పూర్తి చేసిన అతగాడు సివిల్‌ ఇంజినీర్‌గా సిటీకి వచ్చాడు.. వివిధ సంస్థల్లో పని చేసినా భార్య అంగీకరించకపోవడంతో మానేశాడు.. భారీ చోరీ చేసి స్వస్థలంలో ఇల్లు కట్టుకుని సెటిల్‌ అవుదామని పథకం వేశాడు.. దీనికోసం కారు డ్రైవర్‌ అవతారం ఎత్తి సీఎంఎస్‌ వాహనం ‘చేజిక్కించుకున్నాడు’.. ఏటీఎం కేంద్రాల్లో నింపాల్సిన రూ.92 లక్షలు ఎత్తుకుపోయాడు.. ఈ పంథాలో చోరీకి పాల్పడిన దొండపాటి ప్రకాశ్‌ను ఉత్తర మండల టాస్క్‌ఫోర్స్‌ పోలీసులు గురువారం పట్టుకున్నారు. అతడి నుంచి రూ.90 లక్షలు రికవరీ చేశారు. టాస్క్‌ఫోర్స్‌ డీసీపీ పి.రాధాకిషన్‌రావుతో కలిసి తన కార్యాలయంలో ఏర్పాటు చేసిన విలేకరుల సమావేశంలో కొత్వాల్‌ అంజనీకుమార్‌ వివరాలు వెల్లడించారు,ఇల్లుకని కొల్లగొట్టాడు!
"కరోనా వైరస్‌ నియంత్రణలో భాగంగా ప్రధాని నరేంద్ర మోదీ ఆదివారం రోజున జనతా కర్ఫ్యూకు పిలుపునిచ్చిన సంగతి తెలిసిందే. జనతా కర్ఫ్యూలో భాగంగా ప్రజలంతా ఆరోజు ఉదయం 7 గంటల నుంచి రాత్రి 9 గంటల వరకు ఇళ్ల నుంచి బయటకు రావద్దని కోరారు. ఈ నేపథ్యంలో ఆదివారం మెట్రో సేవలను నిలిపివేస్తున్నట్టు ఢిల్లీ మెట్రో రైలు కార్పొరేషన్‌ ప్రకటించింది. ప్రజలు ఇళ్లలో ఉండి జనతా కర్ఫ్యూను విజయవంతం చేసేందుకే ఈ నిర్ణయం తీసుకున్నట్టు తెలిపింది. కరోనాపై పోరాటం చేయడం చాలా ముఖ్యమైనదని పేర్కొంది. కాగా, కేంద్ర ఆరోగ్యశాఖ శుక్రవారం ఉదయం వెల్లడించిన వివరాల ప్రకారం దేశంలో 195 కరోనా పాజిటివ్‌ కేసులు నమోదయ్యాయి.",జనతా కర్ఫ్యూ.. మెట్రో సేవలు బంద్‌
"తిరుపతి అటవీశాఖ డిప్యూటి ఫారెస్ట్‌ రేంజ్‌ ఆఫీసర్‌( డిఎఫ్‌ఓ) వెంకటా చలపతి నాయుడు అక్రమ ఆస్తులపై రెండో రోజు కూడా ఏసీబీ సోదాలు కొనసాగుతున్నాయి. ఆయనతో పాటు సహచర ఉద్యోగులు వెంకటరామిరెడ్డి, బాలకృష్ణరెడ్డి, మాధవరావు ఇళ్లలో కూడా ఏసీబీ అధికారులు తనిఖీలు నిర్వహిస్తున్నారు. వెంకటా చలపతి నాయుడు 20 కోట్ల రూపాయలు దాకా అక్రమంగా సంపాదించినట్లు ఏసీబీ అధికారులు అంచనా వేస్తున్నారు. ఆయన  నివాసంలో 14 జింక కొమ్ములను ఏసీబీ అధికారులు స్వాధీనం చేసుకున్నారు. తిరుపతిలో వెంకటా చలపతి నాయుడు నివాసంతో పాటు ఆయనకు సంబంధించిన పలు భవనాలు, షాపింగ్‌ కాంప్లెక్స్‌లో కూడా సోదాలు నిర్వహిస్తున్నారు. ఆయన స్వగ్రామం చంద్రగిరి మండలం ముంగిలిపట్టు, అత్తగారి గ్రామం నుండుపల్లిలో ఏసీబీ అధికారులు సోదాలు చేపట్టారు. బెంగుళూరులో వెంకటా చలపతి నాయుడు బావమరిది నివాస గృహంలో కూడా మరో బృందం సోదాలు చేపట్టింది. ",రెండో రోజు కొనసాగుతున్న ఏసీబీ దాడులు
"ఎమ్మెల్యే సుధీర్‌రెడ్డి అనుచరులపై దాడి చేసిన కేసులో మాజీ మంత్రి ఆదినారాయణరెడ్డి, ఆయన సోదరులు ఎమ్మెల్సీ శివనాథరెడ్డి, రామాంజనేయరెడ్డి, కుమారుడు గోవర్థన్‌రెడ్డి, మరో 80మందిపై  కేసు నమోదు చేసినట్లు సీఐ మధుసూదన రావు  తెలిపారు.  తమపై దాడి చేసినట్లు బాధితులు రెడ్డయ్య, రామాంజనేయులు ఫిర్యాదు చేయడంతో కేసు నమోదు చేసినట్లు చెప్పారు. అంతేకాకుండా దేవగుడి గ్రామంలో 30 యాక్టు చట్టాన్ని ఉల్లంఘించి సమావేశాన్ని నిర్వహించారన్నారు. శనివారం అర్ధరాత్రి బాధితులు ఇచ్చిన ఫిర్యాదు మేరకు 324, 307,147,148,188 సెక్షన్ల కింద  కేసు నమోదు చేసుకుని విచారణ చేస్తున్నట్లు ఆయన వివరించారు",మాజీ మంత్రి ఆది సోదరులపై కేసు నమోదు
"తన లిక్కర్‌ మాఫియాను కాపాడుకునేందుకు విశాఖ తూర్పు ఎమ్మెల్యే వెలగపూడి రామకృష్ణబాబు చేసిన హంగామాపై పోలీసు యంత్రాంగం సీరియస్‌ అయ్యింది. రెండు రోజులుగా మద్దిలపాలెం, ఎంవీపీ కాలనీల్లోని ఎక్సైజ్‌ పోలీసు స్టేషన్ల ఎదుట ఎమ్మెల్యే వెలగపూడితో పాటు ఆయన అనుచరులు హైడ్రామా చేసిన విషయం తెలిసిందే. తన బినామీ బార్‌లపై ఎక్సైజ్‌ అధికారులు బ్రాండ్‌ మిక్సింగ్‌ కేసు నమోదు చేయడాన్ని జీర్ణించుకోలేని వెలగపూడి  అక్రమ కేసులు పెట్టారంటూ రెండు రోజుల పాటు హంగామా చేశారు.",వెలగపూడి యాక్షన్‌.. ఎక్సైజ్‌ శాఖ రియాక్షన్‌
"ఆన్‌లైన్‌ రీటైలర్‌ ఫ్లిప్‌కార్ట్‌ స్మార్ట్‌ఫోన్లపై భారీ డిస్కౌంట్లను అందిస్తోంది. ‘బిగ్‌ షాపింగ్‌ డేస్‌’ పేరుతో  లాంచ్‌ చేసిన స్పెషల్‌ సేల్‌ ద్వారా ఒప్పో, శాంసంగ్‌ రియల్‌మి తదితర బ్రాండ్ల స్మార్ట్‌ఫోన్లను అతి తక్కువ ధరకే అందుబాటులోకి తీసుకొచ్చింది.  మార్చి 19 నుంచి 22 వరకు  ఈ సేల్‌  నిర్వహించనుంది.  ముఖ్యంగా  శాంసంగ్‌ గెలాక్సీ ఎస్‌ 9 ప్లస్‌పై  భారీ తగ్గింపు ఆఫర్‌ చేస్తోంది ఫ్లిప్‌కార్ట్‌. 6 జీబీ ర్యామ్‌ 64 జీబీ స్టోరేజ్‌  వేరియంట్‌ ధరను దాదాపు 50 వేల తగ్గింపుతో అందిస్తోంది. ఎస్‌బీఐ క్రెడిట్‌ కార్డు కొనుగోలుపై అదనంగా మరో 10 శాతం  డిస్కౌంట్‌ లభ్యం. మూడు రంగుల్లో  ఇది  లభిస్తోంది. అలాగే 12100 దాకా ఎక్స్జేంజ్‌ ఆఫర్‌ కూడా వుంది. ",రూ.70 వేల శాంసంగ్‌ ఫోన్‌ రూ. 25 వేలకే
" దేశీయ స్టాక్‌మార్కెట్లు వారాంతంలో లాభాలతో మురిపించాయి. ఆరంభం నుంచి లాభ నష్టాల తీవ్రంగా ఊగిసలాడిన కీలక సూచీలు చివరికి లాభాల ముగింపు నిచ్చాయి. సెన్సెక్స్‌ 1627 పాయింట్లు ఎగిసి 29915 వద్ద, నిప్టీ 482 పాయింట్ల లాభంతో 8745 వద్ద ముగిసాయి.  బ్యాంకింగ్‌ సహా అన్ని రంగాల షేర్లు లాభాలతో ముగిసాయి. ఓఎన్‌జీసీ, అల్ట్రాటెక్‌ సిమెంట్‌, హెచ్‌యూఎల్‌, రిలయన్స్‌; టీసీఎస్‌, ఆసియన్‌ పెయింట్స్‌, టాటా స్టీల్‌,  ఐటీసీ, హెచ్‌డీఎఫ్‌సీ, హెచ్‌సీఎల్‌ టెక్‌,  బజాజ్‌ ఫైనాన్స్‌, టెక్‌ మహీంద్ర, ఇన్ఫోసిస్‌, పవర్‌ గ్రిడ్‌  లాభపడ్డాయి.  మరోవైపు యస్‌బ్యాంకు తదితర షేర్లు నష్టపోయాయి.","వారాంతంలో లాభాల కళ, కానీ"
"అంతర్జాతీయ సానుకూల సంకేతాలతో దేశీ స్టాక్‌ మార్కెట్లు హుషారుగా ప్రారంభమయ్యాయి. వెంటనే నష్టాలలోకి ప్రవేశించాయి.  కోవిడ్ -19 మహమ్మారి ఆర్థిక పతనానికి వ్యతిరేకంగా ఆర్థిక టాస్క్‌ఫోర్స్‌ను ప్రధాని నరేంద్ర మోదీ ప్రకటించడంతో ఉద్దీపన ప్యాకేజీ ఆశల మధ్య దేశీయ స్టాక్ మార్కెట్లు నాలుగు సెషన్ల నష్టాలకు  శుక్రవారం  చెక్‌ పెట్టాయి. నేడు కూడా లాభ నష్టాల మధ్య తీవ్రంగా ఊగిసలాడిన  సెన్సెక్స్ ఒక దశలో 2వేల పాయింట్లు  ఎగిసి 30,418 పాయింట్ల స్థాయిని తాకింది. నిఫ్టీ కూడా భారీగా లాభపడి  8,883 వద్దకు చేరింది. ప్రస్తుతం 1038 పాయింట్ల లాభంతో సెన్సెక్స్‌ 29340 వద్ద, నిఫ్టీ 316 పాయింట్లు ఎగిసి 8573 వద్ద కొనసాగుతోంది. తొలుత సెన్సెక్స్‌ 160 పాయింట్ల లాభంతో 2846 వద్ద ప్రారంభమై  350 పాయింట్లకు పైగా నష్టపోయింది. బ్యాంకింగ్‌ షేర్లు నష్టపోతుండగా,  నిఫ్టీ ఐటి ఇండెక్స్ 10.75 శాతం  ఎగిసాయి. దీంతోపాటు ఎనర్జీ, కన్స్యూమర్ గూడ్స్ స్టాక్స్‌లో లాభాలు మార్కెట్లకు మద్దతు ఇ'స్తున్నాయి. ఓఎన్‌జిసి, గెయిల్, విప్రో,  టీసీఎస్‌,  హెచ్‌సిఎల్ టెక్‌, ఇన్ఫోసిస్,  డాక్టర్ రెడ్డీ అత్యధిక శాతం  లాభపడ్డాయి. ","లాభనష్టాల సయ్యాట, ఐటీ జూమ్‌"
"గత కొద్దిరోజులుగా తగ్గుముఖం పట్టిన బంగారం ధరలు దేశీ మార్కెట్‌లో తిరిగి రూ 40,000 మార్క్‌ను దాటాయి. ఇతర కరెన్సీలతో డాలర్‌ మారకం విలువ పెరుగుదల నిలిచిపోవడంతో మదుపుదారులు బంగారంవైపు మొగ్గుచూపడం హాట్‌మెటల్స్‌కు కలిసివచ్చింది. మరోవైపు బ్యాంకుల వడ్డీ రేట్లలో కోత విధించడం పసిడికి డిమాండ్‌ పెంచింది. ఎంసీఎక్స్‌లో పదిగ్రాముల పసిడి రూ 305 పెరిగి రూ 40,136 పలికింది.ఇక కిలో వెండి రూ 863 భారమై రూ 35,965కి చేరింది. మరోవైపు గత కొద్దిరోజులుగా బంగారం ధరలు ఏకంగా రూ 5000 దిగివచ్చినా కరోనా వ్యాప్తి నేపథ్యంలో భారత్‌లో బంగారం అమ్మకాలు గణనీయంగా పడిపోయాయి. పలు జ్యూవెలరీ దుకాణాలు, మాల్స్‌ మూతపడటంతో పసిడి అమ్మకాలు మందకొడిగా సాగాయని ట్రేడర్లు చెబుతున్నారు.","మళ్లీ రూ 40,000 దాటిన బంగారం"
"మారటోరియంపరమైన ఆంక్షలు తొలగి, పూర్తి స్థాయి సర్వీసులు ప్రారంభించిన యస్‌ బ్యాంక్‌కు అత్యవసరంగా నిధులు అవసరమైన పక్షంలో తోడ్పాటునిచ్చేందుకు రిజర్వ్‌ బ్యాంక్‌ చర్యలు తీసుకుంది. సుమారు రూ. 59,000 కోట్ల మేర రుణ సదుపాయం అందుబాటులో ఉంటుందని వెల్లడించింది. డిపాజిట్‌దారులకు చెల్లింపులు జరపడంలో సమస్యలు తలెత్తకుండా యస్‌ బ్యాంక్‌కు ఇది తోడ్పడుతుంది. అయితే, దీనిపై యస్‌ బ్యాంక్‌ సాధారణంగా కంటే ఎక్కువ వడ్డీ రేటు చెల్లించాల్సి ఉంటుందని సంబంధిత వర్గాలు తెలిపాయి.2004లో గ్లోబల్‌ ట్రస్ట్‌ బ్యాంక్‌ సంక్షోభంలో చిక్కుకున్నప్పుడు కూడా ఆర్‌బీఐ ఇదే తరహా రుణ సదుపాయం కల్పించింది. అటుపై 16 ఏళ్ల తర్వాత మళ్లీ ఇలాంటి చర్య తీసుకోవడం ఇదే ప్రథమం. అప్పట్లో గ్లోబల్‌ ట్రస్ట్‌ బ్యాంకును ఓరియంటల్‌ బ్యాంక్‌ ఆఫ్‌ కామర్స్‌లో విలీనం చేశారు. గడిచిన కొన్నాళ్లుగా విత్‌డ్రాయల్స్‌ కన్నా డిపాజిట్లే అధికంగా ఉన్నాయని, యస్‌ బ్యాంక్‌ ఇప్పటిదాకానైతే రుణ సదుపాయం వినియోగించుకోలేదని .. అసలు ఆ అవసరం కూడా రాకపోవచ్చని ఆర్‌బీఐ వర్గాలు తెలిపాయి.",యస్‌ బ్యాంక్‌కు ఆర్‌బీఐ 60 వేల కోట్లు
"భుత్వ, ప్రైవేట్‌ కంపెనీల బోర్డ్‌ మీటింగ్స్‌లను వీడియో కాన్ఫరెన్స్‌లో నిర్వహించే వీలు కల్పించింది కార్పొరేట్‌ వ్యవహారాల మంత్రిత్వ శాఖ (ఎంసీఏ). దీంతో కంపెనీల విలీనాలు, కొనుగోళ్లు, అమాల్గమేషన్, నిధుల సమీకరణ వంటి కీలక నిర్ణయాల బోర్డ్‌ మీటింగ్స్‌లను వీడియో లేదా ఆడియో కాన్ఫరెన్స్‌ ద్వారా నిర్వహించుకోవచ్చు. జూన్‌ 30 వరకు వీడియో, ఆడియో ద్వారా సమావేశాలకు అనుమతి ఇస్తున్నట్టు సౌతీస్ట్‌ రీజియన్‌ రీజినల్‌ డైరెక్టర్‌ (ఆర్డీ) తెలిపింది. ఫైనాన్సియల్‌ స్టేట్‌మెంట్స్, అకౌంట్స్, బోర్డ్‌ రిపోర్ట్స్, మెర్జింగ్స్, రీ–స్ట్రక్చరింగ్‌ వంటి బోర్డ్‌ ఆమోదానికి వీడియో కాన్ఫరెన్స్‌ సేవలను వినియోగించుకోవచ్చని పేర్కొంది. ప్రస్తుతం కేవలం బోర్డ్‌ మీటింగ్స్‌కు మాత్రమే వీడియో, ఆడియో కాన్ఫరెన్స్‌ ద్వారా నిర్వహణకు అనుమతి ఉంది. మిగిలిన వాటికి కంపెనీ డైరెక్టర్లు సంబంధిత కార్యాలయాలను ఫిజికల్‌గా కలవాల్సిందే.  ",బోర్డ్‌ మీటింగ్స్‌ వీడియోలో..
"డిజిటల్‌ ప్రకటన రంగంలోకి కొత్త సంస్థ ఎంట్రీ ఇచ్చింది. ‘డిజిటల్‌ కైట్స్‌’  పేరుతో డిజిటల్ అడ్వర్టైజింగ్ ఎకోసిస్టమ్‌లోకి అడుగు పెట్టింది.  తద్వారా వెబ్‌సైట్లకు, బ్రాండ్లు లేదా ఏజెన్సీలకు తన సేవలను ఉచితంగా అందించనుంది.  వివిధ బ్రాండ్లు, ప్రచురుణకర్తలు ఒకరితో ఒకరు కలిసి పనిచేసే ఒక  కొత్త ఎకో సిస్టంను సృష్టిస్తున్నామని సంస్థ ఒక ప్రకటనలో తెలిపింది.   తమ ప్లాట్‌పాంలో ముఖ్యంగా గోప్యతకు  బలమైన ప్రాధాన‍్యత ఇచ్చినట్టు ప్రకటించింది.  ఈ సందర్భంగా  ఆడియన్స్‌ ప్రైమ్ ,  ఆడియన్స్‌ ప్లే  అనే రెండు ప్రధాన  ఉత్పత్తులను డిజిటల్‌ కైట్స్ లాంచ్‌ చేసింది. 'ఆఫ్‌లైన్ కస్టమర్లు,' లేదా 'మల్టీ-ఛానల్ మార్కెటింగ్' తమ లక్ష్యమని పేర్కొంది.  ఆటోమొబైల్‌, రియల్ ఎస్టేట్‌, రీటైల్‌ అండ్‌ కన్సూయర్‌ గూడ్స్‌, ఫైనాన్షియల్‌ సర్వీసెస్‌, హెల్త్‌, ట్రావెల్‌ అండ్‌ టూరిజం తదితర రంగాలకు తన  సేవలను అందించనుంది. ",డిజిటల్‌ ప్రకటనల్లోకి ‘డిజిటల్‌ కైట్స్‌’
